date,PCE Price Index Period Chg,Core PCE (Less Food & Energy) Period Chg
2014-09-01,0.03,0.13
2014-10-01,-0.03,0.09
2014-11-01,-0.1,0.09
2014-12-01,-0.18,0.07
2015-01-01,-0.48,-0.04
2015-02-01,0.18,0.11
2015-03-01,0.19,0.15
2015-04-01,0.09,0.18
2015-05-01,0.24,0.12
2015-06-01,0.19,0.12
2015-07-01,0.09,0.1
2015-08-01,0.01,0.08
2015-09-01,-0.14,0.14
2015-10-01,0.0,0.03
2015-11-01,0.06,0.11
2015-12-01,-0.08,0.07
2016-01-01,0.04,0.18
2016-02-01,-0.05,0.17
2016-03-01,0.23,0.14
2016-04-01,0.33,0.25
2016-05-01,0.16,0.17
2016-06-01,0.18,0.1
2016-07-01,0.02,0.15
2016-08-01,0.14,0.18
2016-09-01,0.19,0.13
2016-10-01,0.2,0.13
2016-11-01,0.03,0.04
2016-12-01,0.17,0.12
2017-01-01,0.38,0.27
2017-02-01,0.14,0.18
2017-03-01,-0.05,-0.04
2017-04-01,0.19,0.2
2017-05-01,-0.04,0.08
2017-06-01,0.08,0.13
2017-07-01,0.04,0.07
2017-08-01,0.22,0.11
2017-09-01,0.37,0.12
2017-10-01,0.13,0.25
2017-11-01,0.14,0.05
2017-12-01,0.15,0.15
2018-01-01,0.37,0.32
2018-02-01,0.21,0.19
2018-03-01,0.11,0.22
2018-04-01,0.24,0.18
2018-05-01,0.17,0.18
2018-06-01,0.09,0.09
2018-07-01,0.11,0.13
2018-08-01,0.07,0.01
2018-09-01,0.21,0.19
2018-10-01,0.17,0.16
2018-11-01,0.03,0.19
2018-12-01,0.07,0.17
2019-01-01,-0.05,0.13
2019-02-01,0.18,0.09
2019-03-01,0.23,0.09
2019-04-01,0.28,0.2
2019-05-01,0.07,0.1
2019-06-01,0.05,0.18
2019-07-01,0.13,0.11
2019-08-01,0.05,0.11
2019-09-01,0.06,0.07
2019-10-01,0.18,0.15
2019-11-01,0.1,0.06
2019-12-01,0.27,0.22
2020-01-01,0.18,0.18
2020-02-01,0.08,0.2
2020-03-01,-0.29,-0.08
2020-04-01,-0.42,-0.32
2020-05-01,0.1,0.1
2020-06-01,0.32,0.16
2020-07-01,0.3,0.36
2020-08-01,0.28,0.29
2020-09-01,0.18,0.16
2020-10-01,0.09,0.09
2020-11-01,0.1,0.09
2020-12-01,0.42,0.28
2021-01-01,0.42,0.36
2021-02-01,0.33,0.21
2021-03-01,0.52,0.41
2021-04-01,0.53,0.58
2021-05-01,0.52,0.5
2021-06-01,0.54,0.47
2021-07-01,0.46,0.42
2021-08-01,0.38,0.32
2021-09-01,0.33,0.21
2021-10-01,0.66,0.5
2021-11-01,0.67,0.53
2021-12-01,0.62,0.58
2022-01-01,0.55,0.5
2022-02-01,0.59,0.44
2022-03-01,0.88,0.4
2022-04-01,0.3,0.35
2022-05-01,0.62,0.35
2022-06-01,0.96,0.59
2022-07-01,-0.01,0.22
2022-08-01,0.28,0.57
2022-09-01,0.35,0.44
2022-10-01,0.47,0.36
2022-11-01,0.26,0.29
2022-12-01,0.14,0.35
2023-01-01,0.54,0.47
2023-02-01,0.29,0.36
2023-03-01,0.14,0.33
2023-04-01,0.35,0.35
2023-05-01,0.17,0.29
2023-06-01,0.27,0.26
2023-07-01,0.11,0.14
2023-08-01,0.3,0.11
2023-09-01,0.37,0.31
2023-10-01,0.05,0.15
2023-11-01,0.01,0.11
2023-12-01,0.14,0.18
2024-01-01,0.47,0.52
2024-02-01,0.3,0.26
2024-03-01,0.36,0.39
2024-04-01,0.25,0.24
2024-05-01,0.01,0.06
2024-06-01,0.15,0.24
2024-07-01,0.16,0.19
2024-08-01,0.12,0.18
2024-09-01,0.22,0.27
2024-10-01,0.27,0.3
2024-11-01,0.11,0.1
2024-12-01,0.27,0.19
2025-01-01,0.35,0.31
2025-02-01,0.4,0.45
2025-03-01,0.02,0.1
2025-04-01,0.17,0.19
2025-05-01,0.18,0.23
2025-06-01,0.29,0.26
2025-07-01,0.17,0.25
2025-08-01,0.26,0.22
2025-09-01,0.26,0.19
2025-10-01,0.19,0.23
2025-11-01,0.22,0.18
2025-12-01,0.33,0.33
2026-01-01,0.3,0.39
2026-02-01,0.38,0.37
