date,Median Household Income (current $) Period Chg,Real Median Household Income (2024 $) Period Chg,Average Hourly Earnings (Total Private) Period Chg,Real Disposable Personal Income Per Capita Period Chg
2020-10-01,,,0.1,-0.38
2020-11-01,,,0.34,-1.17
2020-12-01,,,0.91,0.1
2021-01-01,4.07,-0.38,0.07,10.97
2021-02-01,,,0.4,-8.22
2021-03-01,,,-0.07,22.88
2021-04-01,,,0.63,-15.12
2021-05-01,,,0.63,-2.88
2021-06-01,,,0.43,-0.53
2021-07-01,,,0.39,0.61
2021-08-01,,,0.39,-0.25
2021-09-01,,,0.65,-1.16
2021-10-01,,,0.52,-0.02
2021-11-01,,,0.29,-0.33
2021-12-01,,,0.51,-0.5
2022-01-01,5.37,-2.18,0.67,-2.47
2022-02-01,,,0.13,-0.02
2022-03-01,,,0.51,-0.54
2022-04-01,,,0.5,-0.07
2022-05-01,,,0.44,-0.19
2022-06-01,,,0.28,-0.31
2022-07-01,,,0.47,1.23
2022-08-01,,,0.31,0.52
2022-09-01,,,0.4,0.27
2022-10-01,,,0.4,0.25
2022-11-01,,,0.37,0.09
2022-12-01,,,0.37,0.39
2023-01-01,8.09,4.01,0.24,1.92
2023-02-01,,,0.39,0.48
2023-03-01,,,0.36,0.53
2023-04-01,,,0.48,0.15
2023-05-01,,,0.21,0.29
2023-06-01,,,0.57,0.04
2023-07-01,,,0.47,0.12
2023-08-01,,,0.12,0.06
2023-09-01,,,0.35,-0.05
2023-10-01,,,0.21,0.26
2023-11-01,,,0.26,0.42
2023-12-01,,,0.35,0.24
2024-01-01,3.87,1.26,0.52,0.47
2024-02-01,,,0.15,0.05
2024-03-01,,,0.38,0.04
2024-04-01,,,0.32,0.04
2024-05-01,,,0.37,0.34
2024-06-01,,,0.34,0.13
2024-07-01,,,0.2,-0.11
2024-08-01,,,0.4,0.0
2024-09-01,,,0.34,0.04
2024-10-01,,,0.34,0.18
2024-11-01,,,0.39,0.18
2024-12-01,,,0.25,0.05
2025-01-01,,,0.42,0.09
2025-02-01,,,0.28,0.08
2025-03-01,,,0.47,0.63
2025-04-01,,,0.03,0.54
2025-05-01,,,0.44,-0.88
2025-06-01,,,0.22,-0.15
2025-07-01,,,0.3,0.4
2025-08-01,,,0.41,0.17
2025-09-01,,,0.22,0.07
2025-10-01,,,0.41,-0.2
2025-11-01,,,0.41,0.06
2025-12-01,,,0.05,-0.06
2026-01-01,,,0.35,0.63
2026-02-01,,,0.32,-0.39
2026-03-01,,,0.21,-0.07
2026-04-01,,,0.16,
