date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1995-07-01,5.5172,-2.0194,-3.7453,-3.4483,-1.1494
1995-08-01,-8.366,2.9771,5.0584,8.9286,1.7442
1995-09-01,-3.281,-3.6323,-3.9506,3.2787,0.8571
1995-10-01,2.6549,4.0,0.3856,0.0,1.6997
1995-11-01,-4.5977,1.3314,2.8809,7.9365,1.9499
1995-12-01,6.7771,1.1679,3.0492,-5.8824,1.0929
1996-01-01,0.7052,-4.8341,-6.2198,0.0,-0.2703
1996-02-01,7.7031,5.6861,5.4089,-17.1875,-3.794
1996-03-01,-6.2419,-1.7217,-0.9774,16.9811,3.662
1996-04-01,2.0804,2.1898,4.8735,-3.2258,0.0
1996-05-01,1.3587,-2.5,-3.9412,-1.6667,-1.9022
1996-06-01,-3.3512,2.5641,1.9596,1.6949,-1.662
1996-07-01,6.7961,3.0,1.1411,-5.0,-1.4085
1996-08-01,7.2727,-4.9931,-5.1663,-12.2807,-2.2857
1996-09-01,-6.7797,1.4599,4.8215,4.0,-3.5088
1996-10-01,-6.4935,3.4532,0.5974,7.6923,-0.6061
1996-11-01,7.0833,-0.2086,2.1378,-7.1429,0.6098
1996-12-01,4.4099,0.9756,-0.1163,-3.8462,-2.4242
1997-01-01,3.1056,0.069,0.0582,-6.0,-4.3478
1997-02-01,-3.494,-1.3793,-0.4654,-4.2553,-2.2727
1997-03-01,3.7453,3.4965,0.9351,-8.8889,-4.3189
1997-04-01,-10.4693,1.3514,3.9375,14.6341,0.6944
1997-05-01,2.1505,-6.0,-4.9025,-2.1277,-1.0345
1997-06-01,4.3421,2.8369,5.0967,-4.3478,0.3484
1997-07-01,1.5132,0.6207,-2.1739,0.0,0.3472
1997-08-01,1.2422,-1.3023,-2.735,-2.2727,-0.692
1997-09-01,3.0675,1.5972,3.9836,-2.3256,-1.0453
1997-10-01,-4.7619,-3.2809,-2.5915,2.381,0.0
1997-11-01,8.0,2.4735,1.4459,-9.3023,-1.0563
1997-12-01,-8.2176,0.6207,0.2281,12.8205,0.0
